i, char value, unsigned char, short, unsigned short
13465,-103,153,13465,13465
13466,-102,154,13466,13466
13467,-101,155,13467,13467
13468,-100,156,13468,13468
13469,-99,157,13469,13469
13470,-98,158,13470,13470
13471,-97,159,13471,13471
13472,-96,160,13472,13472
13473,-95,161,13473,13473
13474,-94,162,13474,13474
13475,-93,163,13475,13475
13476,-92,164,13476,13476
13477,-91,165,13477,13477
13478,-90,166,13478,13478
13479,-89,167,13479,13479
13480,-88,168,13480,13480
13481,-87,169,13481,13481
13482,-86,170,13482,13482
13483,-85,171,13483,13483
13484,-84,172,13484,13484
13485,-83,173,13485,13485
13486,-82,174,13486,13486
13487,-81,175,13487,13487
13488,-80,176,13488,13488
13489,-79,177,13489,13489
13490,-78,178,13490,13490
13491,-77,179,13491,13491
13492,-76,180,13492,13492
13493,-75,181,13493,13493
13494,-74,182,13494,13494
13495,-73,183,13495,13495
13496,-72,184,13496,13496
13497,-71,185,13497,13497
13498,-70,186,13498,13498
13499,-69,187,13499,13499
13500,-68,188,13500,13500
13501,-67,189,13501,13501
13502,-66,190,13502,13502
13503,-65,191,13503,13503
13504,-64,192,13504,13504
13505,-63,193,13505,13505
13506,-62,194,13506,13506
13507,-61,195,13507,13507
13508,-60,196,13508,13508
13509,-59,197,13509,13509
13510,-58,198,13510,13510
13511,-57,199,13511,13511
13512,-56,200,13512,13512
13513,-55,201,13513,13513
13514,-54,202,13514,13514
13515,-53,203,13515,13515
13516,-52,204,13516,13516
13517,-51,205,13517,13517
13518,-50,206,13518,13518
13519,-49,207,13519,13519
13520,-48,208,13520,13520
13521,-47,209,13521,13521
13522,-46,210,13522,13522
13523,-45,211,13523,13523
13524,-44,212,13524,13524
13525,-43,213,13525,13525
13526,-42,214,13526,13526
13527,-41,215,13527,13527
13528,-40,216,13528,13528
13529,-39,217,13529,13529
13530,-38,218,13530,13530
13531,-37,219,13531,13531
13532,-36,220,13532,13532
13533,-35,221,13533,13533
13534,-34,222,13534,13534
13535,-33,223,13535,13535
13536,-32,224,13536,13536
13537,-31,225,13537,13537
13538,-30,226,13538,13538
13539,-29,227,13539,13539
13540,-28,228,13540,13540
13541,-27,229,13541,13541
13542,-26,230,13542,13542
13543,-25,231,13543,13543
13544,-24,232,13544,13544
13545,-23,233,13545,13545
13546,-22,234,13546,13546
13547,-21,235,13547,13547
13548,-20,236,13548,13548
13549,-19,237,13549,13549
13550,-18,238,13550,13550
13551,-17,239,13551,13551
13552,-16,240,13552,13552
13553,-15,241,13553,13553
13554,-14,242,13554,13554
13555,-13,243,13555,13555
13556,-12,244,13556,13556
13557,-11,245,13557,13557
13558,-10,246,13558,13558
13559,-9,247,13559,13559
13560,-8,248,13560,13560
13561,-7,249,13561,13561
13562,-6,250,13562,13562
13563,-5,251,13563,13563
13564,-4,252,13564,13564
13565,-3,253,13565,13565
13566,-2,254,13566,13566
13567,-1,255,13567,13567
13568,0,0,13568,13568
13569,1,1,13569,13569
13570,2,2,13570,13570
13571,3,3,13571,13571
13572,4,4,13572,13572
13573,5,5,13573,13573
13574,6,6,13574,13574
13575,7,7,13575,13575
13576,8,8,13576,13576
13577,9,9,13577,13577
13578,10,10,13578,13578
13579,11,11,13579,13579
13580,12,12,13580,13580
13581,13,13,13581,13581
13582,14,14,13582,13582
13583,15,15,13583,13583
13584,16,16,13584,13584
13585,17,17,13585,13585
13586,18,18,13586,13586
13587,19,19,13587,13587
13588,20,20,13588,13588
13589,21,21,13589,13589
13590,22,22,13590,13590
13591,23,23,13591,13591
13592,24,24,13592,13592
13593,25,25,13593,13593
13594,26,26,13594,13594
13595,27,27,13595,13595
13596,28,28,13596,13596
13597,29,29,13597,13597
13598,30,30,13598,13598
13599,31,31,13599,13599
13600,32,32,13600,13600
13601,33,33,13601,13601
13602,34,34,13602,13602
13603,35,35,13603,13603
13604,36,36,13604,13604
13605,37,37,13605,13605
13606,38,38,13606,13606
13607,39,39,13607,13607
13608,40,40,13608,13608
13609,41,41,13609,13609
13610,42,42,13610,13610
13611,43,43,13611,13611
13612,44,44,13612,13612
13613,45,45,13613,13613
13614,46,46,13614,13614
13615,47,47,13615,13615
13616,48,48,13616,13616
13617,49,49,13617,13617
13618,50,50,13618,13618
13619,51,51,13619,13619
13620,52,52,13620,13620
13621,53,53,13621,13621
13622,54,54,13622,13622
13623,55,55,13623,13623
13624,56,56,13624,13624
13625,57,57,13625,13625
13626,58,58,13626,13626
13627,59,59,13627,13627
13628,60,60,13628,13628
13629,61,61,13629,13629
13630,62,62,13630,13630
13631,63,63,13631,13631
13632,64,64,13632,13632
13633,65,65,13633,13633
13634,66,66,13634,13634
13635,67,67,13635,13635
13636,68,68,13636,13636
13637,69,69,13637,13637
13638,70,70,13638,13638
13639,71,71,13639,13639
13640,72,72,13640,13640
13641,73,73,13641,13641
13642,74,74,13642,13642
13643,75,75,13643,13643
13644,76,76,13644,13644
13645,77,77,13645,13645
13646,78,78,13646,13646
13647,79,79,13647,13647
13648,80,80,13648,13648
13649,81,81,13649,13649
13650,82,82,13650,13650
13651,83,83,13651,13651
13652,84,84,13652,13652
13653,85,85,13653,13653
13654,86,86,13654,13654
13655,87,87,13655,13655
13656,88,88,13656,13656
13657,89,89,13657,13657
13658,90,90,13658,13658
13659,91,91,13659,13659
13660,92,92,13660,13660
13661,93,93,13661,13661
13662,94,94,13662,13662
13663,95,95,13663,13663
13664,96,96,13664,13664
13665,97,97,13665,13665
13666,98,98,13666,13666
13667,99,99,13667,13667
13668,100,100,13668,13668
13669,101,101,13669,13669
13670,102,102,13670,13670
13671,103,103,13671,13671
13672,104,104,13672,13672
13673,105,105,13673,13673
13674,106,106,13674,13674
13675,107,107,13675,13675
13676,108,108,13676,13676
13677,109,109,13677,13677
13678,110,110,13678,13678
13679,111,111,13679,13679
13680,112,112,13680,13680
13681,113,113,13681,13681
13682,114,114,13682,13682
13683,115,115,13683,13683
13684,116,116,13684,13684
13685,117,117,13685,13685
13686,118,118,13686,13686
13687,119,119,13687,13687
13688,120,120,13688,13688
13689,121,121,13689,13689
13690,122,122,13690,13690
13691,123,123,13691,13691
13692,124,124,13692,13692
13693,125,125,13693,13693
13694,126,126,13694,13694
13695,127,127,13695,13695
13696,-128,128,13696,13696
13697,-127,129,13697,13697
13698,-126,130,13698,13698
13699,-125,131,13699,13699
13700,-124,132,13700,13700
13701,-123,133,13701,13701
13702,-122,134,13702,13702
13703,-121,135,13703,13703
13704,-120,136,13704,13704
13705,-119,137,13705,13705
13706,-118,138,13706,13706
13707,-117,139,13707,13707
13708,-116,140,13708,13708
13709,-115,141,13709,13709
13710,-114,142,13710,13710
13711,-113,143,13711,13711
13712,-112,144,13712,13712
13713,-111,145,13713,13713
13714,-110,146,13714,13714
13715,-109,147,13715,13715
13716,-108,148,13716,13716
13717,-107,149,13717,13717
13718,-106,150,13718,13718
13719,-105,151,13719,13719
13720,-104,152,13720,13720
13721,-103,153,13721,13721
13722,-102,154,13722,13722
13723,-101,155,13723,13723
13724,-100,156,13724,13724
13725,-99,157,13725,13725
13726,-98,158,13726,13726
13727,-97,159,13727,13727
13728,-96,160,13728,13728
13729,-95,161,13729,13729
13730,-94,162,13730,13730
13731,-93,163,13731,13731
13732,-92,164,13732,13732
13733,-91,165,13733,13733
13734,-90,166,13734,13734
13735,-89,167,13735,13735
13736,-88,168,13736,13736
13737,-87,169,13737,13737
13738,-86,170,13738,13738
13739,-85,171,13739,13739
13740,-84,172,13740,13740
13741,-83,173,13741,13741
13742,-82,174,13742,13742
13743,-81,175,13743,13743
13744,-80,176,13744,13744
13745,-79,177,13745,13745
13746,-78,178,13746,13746
13747,-77,179,13747,13747
13748,-76,180,13748,13748
13749,-75,181,13749,13749
13750,-74,182,13750,13750
13751,-73,183,13751,13751
13752,-72,184,13752,13752
13753,-71,185,13753,13753
13754,-70,186,13754,13754
13755,-69,187,13755,13755
13756,-68,188,13756,13756
13757,-67,189,13757,13757
13758,-66,190,13758,13758
13759,-65,191,13759,13759
13760,-64,192,13760,13760
13761,-63,193,13761,13761
13762,-62,194,13762,13762
13763,-61,195,13763,13763
13764,-60,196,13764,13764
13765,-59,197,13765,13765
13766,-58,198,13766,13766
13767,-57,199,13767,13767
13768,-56,200,13768,13768
13769,-55,201,13769,13769
13770,-54,202,13770,13770
13771,-53,203,13771,13771
13772,-52,204,13772,13772
13773,-51,205,13773,13773
13774,-50,206,13774,13774
13775,-49,207,13775,13775
13776,-48,208,13776,13776
13777,-47,209,13777,13777
13778,-46,210,13778,13778
13779,-45,211,13779,13779
13780,-44,212,13780,13780
13781,-43,213,13781,13781
13782,-42,214,13782,13782
13783,-41,215,13783,13783
13784,-40,216,13784,13784
13785,-39,217,13785,13785
13786,-38,218,13786,13786
13787,-37,219,13787,13787
13788,-36,220,13788,13788
13789,-35,221,13789,13789
13790,-34,222,13790,13790
13791,-33,223,13791,13791
13792,-32,224,13792,13792
13793,-31,225,13793,13793
13794,-30,226,13794,13794
13795,-29,227,13795,13795
13796,-28,228,13796,13796
13797,-27,229,13797,13797
13798,-26,230,13798,13798
13799,-25,231,13799,13799
13800,-24,232,13800,13800
13801,-23,233,13801,13801
13802,-22,234,13802,13802
13803,-21,235,13803,13803
13804,-20,236,13804,13804
13805,-19,237,13805,13805
13806,-18,238,13806,13806
13807,-17,239,13807,13807
13808,-16,240,13808,13808
13809,-15,241,13809,13809
13810,-14,242,13810,13810
13811,-13,243,13811,13811
13812,-12,244,13812,13812
13813,-11,245,13813,13813
13814,-10,246,13814,13814
13815,-9,247,13815,13815
13816,-8,248,13816,13816
13817,-7,249,13817,13817
13818,-6,250,13818,13818
13819,-5,251,13819,13819
13820,-4,252,13820,13820
13821,-3,253,13821,13821
13822,-2,254,13822,13822
13823,-1,255,13823,13823
13824,0,0,13824,13824
13825,1,1,13825,13825
13826,2,2,13826,13826
13827,3,3,13827,13827
13828,4,4,13828,13828
13829,5,5,13829,13829
13830,6,6,13830,13830
13831,7,7,13831,13831
13832,8,8,13832,13832
13833,9,9,13833,13833
13834,10,10,13834,13834
13835,11,11,13835,13835
13836,12,12,13836,13836
13837,13,13,13837,13837
13838,14,14,13838,13838
13839,15,15,13839,13839
13840,16,16,13840,13840
13841,17,17,13841,13841
13842,18,18,13842,13842
13843,19,19,13843,13843
13844,20,20,13844,13844
13845,21,21,13845,13845
13846,22,22,13846,13846
13847,23,23,13847,13847
13848,24,24,13848,13848
13849,25,25,13849,13849
13850,26,26,13850,13850
13851,27,27,13851,13851
13852,28,28,13852,13852
13853,29,29,13853,13853
13854,30,30,13854,13854
13855,31,31,13855,13855
13856,32,32,13856,13856
13857,33,33,13857,13857
13858,34,34,13858,13858
13859,35,35,13859,13859
13860,36,36,13860,13860
13861,37,37,13861,13861
13862,38,38,13862,13862
13863,39,39,13863,13863
13864,40,40,13864,13864
13865,41,41,13865,13865
13866,42,42,13866,13866
13867,43,43,13867,13867
13868,44,44,13868,13868
13869,45,45,13869,13869
13870,46,46,13870,13870
13871,47,47,13871,13871
13872,48,48,13872,13872
13873,49,49,13873,13873
13874,50,50,13874,13874
13875,51,51,13875,13875
13876,52,52,13876,13876
13877,53,53,13877,13877
13878,54,54,13878,13878
13879,55,55,13879,13879
13880,56,56,13880,13880
13881,57,57,13881,13881
13882,58,58,13882,13882
13883,59,59,13883,13883
13884,60,60,13884,13884
13885,61,61,13885,13885
13886,62,62,13886,13886
13887,63,63,13887,13887
13888,64,64,13888,13888
13889,65,65,13889,13889
13890,66,66,13890,13890
13891,67,67,13891,13891
13892,68,68,13892,13892
13893,69,69,13893,13893
13894,70,70,13894,13894
13895,71,71,13895,13895
13896,72,72,13896,13896
13897,73,73,13897,13897
13898,74,74,13898,13898
13899,75,75,13899,13899
13900,76,76,13900,13900
13901,77,77,13901,13901
13902,78,78,13902,13902
13903,79,79,13903,13903
13904,80,80,13904,13904
13905,81,81,13905,13905
13906,82,82,13906,13906
13907,83,83,13907,13907
13908,84,84,13908,13908
13909,85,85,13909,13909
13910,86,86,13910,13910
13911,87,87,13911,13911
13912,88,88,13912,13912
13913,89,89,13913,13913
13914,90,90,13914,13914
13915,91,91,13915,13915
13916,92,92,13916,13916
13917,93,93,13917,13917
13918,94,94,13918,13918
13919,95,95,13919,13919
13920,96,96,13920,13920
13921,97,97,13921,13921
13922,98,98,13922,13922
13923,99,99,13923,13923
13924,100,100,13924,13924
13925,101,101,13925,13925
13926,102,102,13926,13926
13927,103,103,13927,13927
13928,104,104,13928,13928
13929,105,105,13929,13929
13930,106,106,13930,13930
13931,107,107,13931,13931
13932,108,108,13932,13932
13933,109,109,13933,13933
13934,110,110,13934,13934
13935,111,111,13935,13935
13936,112,112,13936,13936
13937,113,113,13937,13937
13938,114,114,13938,13938
13939,115,115,13939,13939
13940,116,116,13940,13940
13941,117,117,13941,13941
13942,118,118,13942,13942
13943,119,119,13943,13943
13944,120,120,13944,13944
13945,121,121,13945,13945
13946,122,122,13946,13946
13947,123,123,13947,13947
13948,124,124,13948,13948
13949,125,125,13949,13949
13950,126,126,13950,13950
13951,127,127,13951,13951
13952,-128,128,13952,13952
13953,-127,129,13953,13953
13954,-126,130,13954,13954
13955,-125,131,13955,13955
13956,-124,132,13956,13956
13957,-123,133,13957,13957
13958,-122,134,13958,13958
13959,-121,135,13959,13959
13960,-120,136,13960,13960
13961,-119,137,13961,13961
13962,-118,138,13962,13962
13963,-117,139,13963,13963
13964,-116,140,13964,13964
13965,-115,141,13965,13965
13966,-114,142,13966,13966
13967,-113,143,13967,13967
13968,-112,144,13968,13968
13969,-111,145,13969,13969
13970,-110,146,13970,13970
13971,-109,147,13971,13971
13972,-108,148,13972,13972
13973,-107,149,13973,13973
13974,-106,150,13974,13974
13975,-105,151,13975,13975
13976,-104,152,13976,13976
13977,-103,153,13977,13977
13978,-102,154,13978,13978
13979,-101,155,13979,13979
13980,-100,156,13980,13980
13981,-99,157,13981,13981
13982,-98,158,13982,13982
13983,-97,159,13983,13983
13984,-96,160,13984,13984
13985,-95,161,13985,13985
13986,-94,162,13986,13986
13987,-93,163,13987,13987
13988,-92,164,13988,13988
13989,-91,165,13989,13989
13990,-90,166,13990,13990
13991,-89,167,13991,13991
13992,-88,168,13992,13992
13993,-87,169,13993,13993
13994,-86,170,13994,13994
13995,-85,171,13995,13995
13996,-84,172,13996,13996
13997,-83,173,13997,13997
13998,-82,174,13998,13998
13999,-81,175,13999,13999
14000,-80,176,14000,14000
14001,-79,177,14001,14001
14002,-78,178,14002,14002
14003,-77,179,14003,14003
14004,-76,180,14004,14004
14005,-75,181,14005,14005
14006,-74,182,14006,14006
14007,-73,183,14007,14007
14008,-72,184,14008,14008
14009,-71,185,14009,14009
14010,-70,186,14010,14010
14011,-69,187,14011,14011
14012,-68,188,14012,14012
14013,-67,189,14013,14013
14014,-66,190,14014,14014
14015,-65,191,14015,14015
14016,-64,192,14016,14016
14017,-63,193,14017,14017
14018,-62,194,14018,14018
14019,-61,195,14019,14019
14020,-60,196,14020,14020
14021,-59,197,14021,14021
14022,-58,198,14022,14022
14023,-57,199,14023,14023
14024,-56,200,14024,14024
14025,-55,201,14025,14025
14026,-54,202,14026,14026
14027,-53,203,14027,14027
14028,-52,204,14028,14028
14029,-51,205,14029,14029
14030,-50,206,14030,14030
14031,-49,207,14031,14031
14032,-48,208,14032,14032
14033,-47,209,14033,14033
14034,-46,210,14034,14034
14035,-45,211,14035,14035
14036,-44,212,14036,14036
14037,-43,213,14037,14037
14038,-42,214,14038,14038
14039,-41,215,14039,14039
14040,-40,216,14040,14040
14041,-39,217,14041,14041
14042,-38,218,14042,14042
14043,-37,219,14043,14043
14044,-36,220,14044,14044
14045,-35,221,14045,14045
14046,-34,222,14046,14046
14047,-33,223,14047,14047
14048,-32,224,14048,14048
14049,-31,225,14049,14049
14050,-30,226,14050,14050
14051,-29,227,14051,14051
14052,-28,228,14052,14052
14053,-27,229,14053,14053
14054,-26,230,14054,14054
14055,-25,231,14055,14055
14056,-24,232,14056,14056
14057,-23,233,14057,14057
14058,-22,234,14058,14058
14059,-21,235,14059,14059
14060,-20,236,14060,14060
14061,-19,237,14061,14061
14062,-18,238,14062,14062
14063,-17,239,14063,14063
14064,-16,240,14064,14064
14065,-15,241,14065,14065
14066,-14,242,14066,14066
14067,-13,243,14067,14067
14068,-12,244,14068,14068
14069,-11,245,14069,14069
14070,-10,246,14070,14070
14071,-9,247,14071,14071
14072,-8,248,14072,14072
14073,-7,249,14073,14073
14074,-6,250,14074,14074
14075,-5,251,14075,14075
14076,-4,252,14076,14076
14077,-3,253,14077,14077
14078,-2,254,14078,14078
14079,-1,255,14079,14079
14080,0,0,14080,14080
14081,1,1,14081,14081
14082,2,2,14082,14082
14083,3,3,14083,14083
14084,4,4,14084,14084
14085,5,5,14085,14085
14086,6,6,14086,14086
14087,7,7,14087,14087
14088,8,8,14088,14088
14089,9,9,14089,14089
14090,10,10,14090,14090
14091,11,11,14091,14091
14092,12,12,14092,14092
14093,13,13,14093,14093
14094,14,14,14094,14094
14095,15,15,14095,14095
14096,16,16,14096,14096
14097,17,17,14097,14097
14098,18,18,14098,14098
14099,19,19,14099,14099
14100,20,20,14100,14100
14101,21,21,14101,14101
14102,22,22,14102,14102
14103,23,23,14103,14103
14104,24,24,14104,14104
14105,25,25,14105,14105
14106,26,26,14106,14106
14107,27,27,14107,14107
14108,28,28,14108,14108
14109,29,29,14109,14109
14110,30,30,14110,14110
14111,31,31,14111,14111
14112,32,32,14112,14112
14113,33,33,14113,14113
14114,34,34,14114,14114
14115,35,35,14115,14115
14116,36,36,14116,14116
14117,37,37,14117,14117
14118,38,38,14118,14118
14119,39,39,14119,14119
14120,40,40,14120,14120
14121,41,41,14121,14121
14122,42,42,14122,14122
14123,43,43,14123,14123
14124,44,44,14124,14124
14125,45,45,14125,14125
14126,46,46,14126,14126
14127,47,47,14127,14127
14128,48,48,14128,14128
14129,49,49,14129,14129
14130,50,50,14130,14130
14131,51,51,14131,14131
14132,52,52,14132,14132
14133,53,53,14133,14133
14134,54,54,14134,14134
14135,55,55,14135,14135
14136,56,56,14136,14136
14137,57,57,14137,14137
14138,58,58,14138,14138
14139,59,59,14139,14139
14140,60,60,14140,14140
14141,61,61,14141,14141
14142,62,62,14142,14142
14143,63,63,14143,14143
14144,64,64,14144,14144
14145,65,65,14145,14145
14146,66,66,14146,14146
14147,67,67,14147,14147
14148,68,68,14148,14148
14149,69,69,14149,14149
14150,70,70,14150,14150
14151,71,71,14151,14151
14152,72,72,14152,14152
14153,73,73,14153,14153
14154,74,74,14154,14154
14155,75,75,14155,14155
14156,76,76,14156,14156
14157,77,77,14157,14157
14158,78,78,14158,14158
14159,79,79,14159,14159
14160,80,80,14160,14160
14161,81,81,14161,14161
14162,82,82,14162,14162
14163,83,83,14163,14163
14164,84,84,14164,14164
14165,85,85,14165,14165
14166,86,86,14166,14166
14167,87,87,14167,14167
14168,88,88,14168,14168
14169,89,89,14169,14169
14170,90,90,14170,14170
14171,91,91,14171,14171
14172,92,92,14172,14172
14173,93,93,14173,14173
14174,94,94,14174,14174
14175,95,95,14175,14175
14176,96,96,14176,14176
14177,97,97,14177,14177
14178,98,98,14178,14178
14179,99,99,14179,14179
14180,100,100,14180,14180
14181,101,101,14181,14181
14182,102,102,14182,14182
14183,103,103,14183,14183
14184,104,104,14184,14184
14185,105,105,14185,14185
14186,106,106,14186,14186
14187,107,107,14187,14187
14188,108,108,14188,14188
14189,109,109,14189,14189
14190,110,110,14190,14190
14191,111,111,14191,14191
14192,112,112,14192,14192
14193,113,113,14193,14193
14194,114,114,14194,14194
14195,115,115,14195,14195
14196,116,116,14196,14196
14197,117,117,14197,14197
14198,118,118,14198,14198
14199,119,119,14199,14199
14200,120,120,14200,14200
14201,121,121,14201,14201
14202,122,122,14202,14202
14203,123,123,14203,14203
14204,124,124,14204,14204
14205,125,125,14205,14205
14206,126,126,14206,14206
14207,127,127,14207,14207
14208,-128,128,14208,14208
14209,-127,129,14209,14209
14210,-126,130,14210,14210
14211,-125,131,14211,14211
14212,-124,132,14212,14212
14213,-123,133,14213,14213
14214,-122,134,14214,14214
14215,-121,135,14215,14215
14216,-120,136,14216,14216
14217,-119,137,14217,14217
14218,-118,138,14218,14218
14219,-117,139,14219,14219
14220,-116,140,14220,14220
14221,-115,141,14221,14221
14222,-114,142,14222,14222
14223,-113,143,14223,14223
14224,-112,144,14224,14224
14225,-111,145,14225,14225
14226,-110,146,14226,14226
14227,-109,147,14227,14227
14228,-108,148,14228,14228
14229,-107,149,14229,14229
14230,-106,150,14230,14230
14231,-105,151,14231,14231
14232,-104,152,14232,14232
14233,-103,153,14233,14233
14234,-102,154,14234,14234
14235,-101,155,14235,14235
14236,-100,156,14236,14236
14237,-99,157,14237,14237
14238,-98,158,14238,14238
14239,-97,159,14239,14239
14240,-96,160,14240,14240
14241,-95,161,14241,14241
14242,-94,162,14242,14242
14243,-93,163,14243,14243
14244,-92,164,14244,14244
14245,-91,165,14245,14245
14246,-90,166,14246,14246
14247,-89,167,14247,14247
14248,-88,168,14248,14248
14249,-87,169,14249,14249
14250,-86,170,14250,14250
14251,-85,171,14251,14251
14252,-84,172,14252,14252
14253,-83,173,14253,14253
14254,-82,174,14254,14254
14255,-81,175,14255,14255
14256,-80,176,14256,14256
14257,-79,177,14257,14257
14258,-78,178,14258,14258
14259,-77,179,14259,14259
14260,-76,180,14260,14260
14261,-75,181,14261,14261
14262,-74,182,14262,14262
14263,-73,183,14263,14263
14264,-72,184,14264,14264
14265,-71,185,14265,14265
14266,-70,186,14266,14266
14267,-69,187,14267,14267
14268,-68,188,14268,14268
14269,-67,189,14269,14269
14270,-66,190,14270,14270
14271,-65,191,14271,14271
14272,-64,192,14272,14272
14273,-63,193,14273,14273
14274,-62,194,14274,14274
14275,-61,195,14275,14275
14276,-60,196,14276,14276
14277,-59,197,14277,14277
14278,-58,198,14278,14278
14279,-57,199,14279,14279
14280,-56,200,14280,14280
14281,-55,201,14281,14281
14282,-54,202,14282,14282
14283,-53,203,14283,14283
14284,-52,204,14284,14284
14285,-51,205,14285,14285
14286,-50,206,14286,14286
14287,-49,207,14287,14287
14288,-48,208,14288,14288
14289,-47,209,14289,14289
14290,-46,210,14290,14290
14291,-45,211,14291,14291
14292,-44,212,14292,14292
14293,-43,213,14293,14293
14294,-42,214,14294,14294
14295,-41,215,14295,14295
14296,-40,216,14296,14296
14297,-39,217,14297,14297
14298,-38,218,14298,14298
14299,-37,219,14299,14299
14300,-36,220,14300,14300
14301,-35,221,14301,14301
14302,-34,222,14302,14302
14303,-33,223,14303,14303
14304,-32,224,14304,14304
14305,-31,225,14305,14305
14306,-30,226,14306,14306
14307,-29,227,14307,14307
14308,-28,228,14308,14308
14309,-27,229,14309,14309
14310,-26,230,14310,14310
14311,-25,231,14311,14311
14312,-24,232,14312,14312
14313,-23,233,14313,14313
14314,-22,234,14314,14314
14315,-21,235,14315,14315
14316,-20,236,14316,14316
14317,-19,237,14317,14317
14318,-18,238,14318,14318
14319,-17,239,14319,14319
14320,-16,240,14320,14320
14321,-15,241,14321,14321
14322,-14,242,14322,14322
14323,-13,243,14323,14323
14324,-12,244,14324,14324
14325,-11,245,14325,14325
14326,-10,246,14326,14326
14327,-9,247,14327,14327
14328,-8,248,14328,14328
14329,-7,249,14329,14329
14330,-6,250,14330,14330
14331,-5,251,14331,14331
14332,-4,252,14332,14332
14333,-3,253,14333,14333
14334,-2,254,14334,14334
14335,-1,255,14335,14335
14336,0,0,14336,14336
14337,1,1,14337,14337
14338,2,2,14338,14338
14339,3,3,14339,14339
14340,4,4,14340,14340
14341,5,5,14341,14341
14342,6,6,14342,14342
14343,7,7,14343,14343
14344,8,8,14344,14344
14345,9,9,14345,14345
14346,10,10,14346,14346
14347,11,11,14347,14347
14348,12,12,14348,14348
14349,13,13,14349,14349
14350,14,14,14350,14350
14351,15,15,14351,14351
14352,16,16,14352,14352
14353,17,17,14353,14353
14354,18,18,14354,14354
14355,19,19,14355,14355
14356,20,20,14356,14356
14357,21,21,14357,14357
14358,22,22,14358,14358
14359,23,23,14359,14359
14360,24,24,14360,14360
14361,25,25,14361,14361
14362,26,26,14362,14362
14363,27,27,14363,14363
14364,28,28,14364,14364
14365,29,29,14365,14365
14366,30,30,14366,14366
14367,31,31,14367,14367
14368,32,32,14368,14368
14369,33,33,14369,14369
14370,34,34,14370,14370
14371,35,35,14371,14371
14372,36,36,14372,14372
14373,37,37,14373,14373
14374,38,38,14374,14374
14375,39,39,14375,14375
14376,40,40,14376,14376
14377,41,41,14377,14377
14378,42,42,14378,14378
14379,43,43,14379,14379
14380,44,44,14380,14380
14381,45,45,14381,14381
14382,46,46,14382,14382
14383,47,47,14383,14383
14384,48,48,14384,14384
14385,49,49,14385,14385
14386,50,50,14386,14386
14387,51,51,14387,14387
14388,52,52,14388,14388
14389,53,53,14389,14389
14390,54,54,14390,14390
14391,55,55,14391,14391
14392,56,56,14392,14392
14393,57,57,14393,14393
14394,58,58,14394,14394
14395,59,59,14395,14395
14396,60,60,14396,14396
14397,61,61,14397,14397
14398,62,62,14398,14398
14399,63,63,14399,14399
14400,64,64,14400,14400
14401,65,65,14401,14401
14402,66,66,14402,14402
14403,67,67,14403,14403
14404,68,68,14404,14404
14405,69,69,14405,14405
14406,70,70,14406,14406
14407,71,71,14407,14407
14408,72,72,14408,14408
14409,73,73,14409,14409
14410,74,74,14410,14410
14411,75,75,14411,14411
14412,76,76,14412,14412
14413,77,77,14413,14413
14414,78,78,14414,14414
14415,79,79,14415,14415
14416,80,80,14416,14416
14417,81,81,14417,14417
14418,82,82,14418,14418
14419,83,83,14419,14419
14420,84,84,14420,14420
14421,85,85,14421,14421
14422,86,86,14422,14422
14423,87,87,14423,14423
14424,88,88,14424,14424
14425,89,89,14425,14425
14426,90,90,14426,14426
14427,91,91,14427,14427
14428,92,92,14428,14428
14429,93,93,14429,14429
14430,94,94,14430,14430
14431,95,95,14431,14431
14432,96,96,14432,14432
14433,97,97,14433,14433
14434,98,98,14434,14434
14435,99,99,14435,14435
14436,100,100,14436,14436
14437,101,101,14437,14437
14438,102,102,14438,14438
14439,103,103,14439,14439
14440,104,104,14440,14440
14441,105,105,14441,14441
14442,106,106,14442,14442
14443,107,107,14443,14443
14444,108,108,14444,14444
14445,109,109,14445,14445
14446,110,110,14446,14446
14447,111,111,14447,14447
14448,112,112,14448,14448
14449,113,113,14449,14449
14450,114,114,14450,14450
14451,115,115,14451,14451
14452,116,116,14452,14452
14453,117,117,14453,14453
14454,118,118,14454,14454
14455,119,119,14455,14455
14456,120,120,14456,14456
14457,121,121,14457,14457
14458,122,122,14458,14458
14459,123,123,14459,14459
14460,124,124,14460,14460
14461,125,125,14461,14461
14462,126,126,14462,14462
14463,127,127,14463,14463
14464,-128,128,14464,14464
14465,-127,129,14465,14465
14466,-126,130,14466,14466
14467,-125,131,14467,14467
14468,-124,132,14468,14468
14469,-123,133,14469,14469
14470,-122,134,14470,14470
14471,-121,135,14471,14471
14472,-120,136,14472,14472
14473,-119,137,14473,14473
14474,-118,138,14474,14474
14475,-117,139,14475,14475
14476,-116,140,14476,14476
14477,-115,141,14477,14477
14478,-114,142,14478,14478
14479,-113,143,14479,14479
14480,-112,144,14480,14480
14481,-111,145,14481,14481
14482,-110,146,14482,14482
14483,-109,147,14483,14483
14484,-108,148,14484,14484
14485,-107,149,14485,14485
14486,-106,150,14486,14486
14487,-105,151,14487,14487
14488,-104,152,14488,14488
14489,-103,153,14489,14489
14490,-102,154,14490,14490
14491,-101,155,14491,14491
14492,-100,156,14492,14492
14493,-99,157,14493,14493
14494,-98,158,14494,14494
14495,-97,159,14495,14495
14496,-96,160,14496,14496
14497,-95,161,14497,14497
14498,-94,162,14498,14498
14499,-93,163,14499,14499
